gene	Sham-1	Sham-2	12-HETE-1	12-HETE-2
Gnai3	27.428961	30.147097	70.404839	76.445206
Cdc45	0	0.141646	0.991294	1.075552
Scml2	0	0	0	0.034758
Apoh	947.589172	1060.318115	581.310059	578.080261
Narf	19.849733	18.407234	4.71821	4.838342
Cav2	1.669679	0.777478	9.303429	9.156655
Klf6	4.894131	4.726652	52.163372	61.890793
Scmh1	3.45356	0.813547	4.394814	5.355159
Cox5a	151.995911	153.252686	98.40963	121.254089
Tbx2	1.214167	0.530194	0.06606	0.153798
Ngfr	0.634046	0.381713	0	0
Wnt9a	0.090582	0.09143	9.459613	8.936841
Fer	2.327628	1.440945	2.970662	3.90703
Xpo6	9.670154	6.948781	22.938351	20.195246
Tfe3	10.832302	7.32725	16.785954	17.217375
Axin2	1.688028	2.333683	0	0
Brat1	1.424903	1.970181	12.47371	11.140194
Gna12	34.764931	29.988052	61.036442	53.071304
Slc22a18	42.519306	40.754971	30.916824	26.361113
Itgb2l	0	0.136998	4.851271	3.732534
Igsf5	13.887355	11.192461	20.743418	16.370947
Pih1d2	0	0.135544	0.728054	1.481182
Dlat	11.94054	10.757042	15.84282	14.570586
Sdhd	120.700813	126.175896	98.31105	92.418915
Fgf23	0	0	0.030519	0
Ccnd2	0.888362	1.552377	0.376661	0.701454
Gpr107	11.10591	8.16353	6.724096	6.940427
Btbd17	0	0	0.036603	0.049322
Slfn4	1.094025	0.25512	0.083925	0.155914
Drp2	0	0	0	0.039397
Tspan32	0	0.077488	0.017045	0.012632
Lhx2	0.413756	0.391908	0.038858	0
Gmpr	0.253784	0	0	0.013549
Mid2	0.716887	0.595683	1.631053	1.674689
Trim25	19.876976	21.496265	33.77047	33.308601
Dgke	0.227692	0.232496	1.655816	1.878277
Scpep1	13.572356	11.397189	22.974133	24.6343
Mnt	3.669643	3.34705	13.056568	16.512793
Itgb2	2.522471	0.697708	0.985059	0.593117
Hddc2	0.476599	0.072767	4.030716	5.128458
Tpd52l1	5.708963	5.417675	8.314818	8.450482
Pemt	160.202805	175.484589	80.569748	77.866669
Cdh1	7.82169	4.172126	67.661636	81.582443
Cdh4	0.125541	0.141264	0.025971	0.030392
Bcl6b	0.295991	0.501487	0.804784	1.046243
Alox12	0	0	0.093039	0.104013
Arvcf	2.218894	2.095256	7.843359	6.711974
Comt	321.4599	333.039764	559.787781	349.229401
Rtca	3.845188	5.250428	17.95546	16.540739
Dbt	27.757469	31.539864	6.503868	6.666786
Dazap2	44.897156	42.146332	81.377159	86.322327
Mcts1	22.143314	16.084898	11.618854	13.660513
Rnf17	0	0	0	0.043683
Trappc10	7.244935	6.464483	11.991542	13.116066
Ccm2	9.962458	11.35744	31.474607	31.135725
Tbrg4	16.938213	20.696644	47.810642	39.240852
Tmprss2	2.185688	0.95829	0.953025	1.07522
Mx1	0.148071	0.054327	0.639132	0.771764
Fap	0	0	0.056022	0.040804
Gcg	0	0	0.050884	0
Ndufa9	69.90757	66.152435	61.234634	59.791283
Lck	0	0	0.176312	0.093637
Galnt1	13.26729	8.985318	21.933495	16.964727
Mkrn2	2.774966	3.699022	3.504474	4.579872
Pparg	2.404902	1.838515	6.709442	7.914519
Raf1	22.912146	20.405586	54.091019	56.308014
Sept1	0	0.425736	0.775424	0.817672
Pdgfb	0.274831	0.208053	1.94053	2.670124
Acvrl1	1.57028	1.020941	0.497248	0.873773
Grasp	0.645349	0.974515	0.178124	0.361021
Acvr1b	6.510137	3.75325	6.983716	7.40613
Tom1l2	9.081971	9.403418	5.492861	4.843626
Zfp385a	3.658516	2.157804	12.192738	8.642306
Itga5	2.878983	1.686548	14.756207	15.750626
Wdr77	17.307438	23.475679	44.244373	16.957609
Atp5f1	126.45639	150.531311	90.69146	90.443054
Sox9	1.787544	1.43766	9.106031	12.239801
Hnrnpd	16.63854	15.650881	18.204773	19.331512
Dynlt1c	1.37629	1.788043	3.295311	3.974046
C1d	12.332145	13.901942	9.500666	6.216682
Gm2a	22.713289	20.274887	10.504814	9.149118
Krit1	3.78651	3.624634	3.82434	3.595637
Clcn4	17.924074	16.515839	9.250938	9.838905
Sema4f	0.049067	0	0.227312	0.144288
Hk2	0.251967	0.07304	2.955641	4.924128
Myo18a	31.951218	23.033352	41.917858	34.953262
Haao	245.67569	260.739075	62.266541	58.7803
Cd52	8.350385	2.74793	2.567422	1.303403
Abhd15	11.97027	12.437736	0.844283	0.605775
Loxl3	0.621673	0.098763	0.046609	0.078541
Btn1a1	0	0	0.032132	0.032848
Kat2b	11.783583	13.522706	11.656151	8.869039
Rab5b	18.003098	17.39761	35.923794	36.992233
Dnmt3l	0	0	0.030385	0
Icosl	0.213742	0.071914	0.120754	0.312451
Spg7	13.77506	13.232336	18.092623	13.680697
Sult5a1	2.704318	7.750339	2.351562	1.786952
Rpl13	120.352112	132.198441	1035.689087	935.489441
