gene	Ctrl-1	Ctrl-2	Ctrl-3	Ctrl-4	XM1845_OE-1	XM1845_OE-2	XM1845_OE-3	XM1845_OE-4
DPM1	53.139717	47.189552	47.717453	49.06498	43.958252	42.280746	50.492649	47.062023
SCYL3	2.046797	1.746978	1.723289	1.939784	1.689805	1.900795	1.228086	2.283672
C1orf112	6.172078	8.787676	7.065936	12.250766	7.113319	7.543891	8.844342	7.547853
FUCA2	48.137981	48.195435	43.091286	49.377342	46.776051	46.567543	45.471771	47.872288
GCLC	19.001047	17.954456	17.847677	16.783316	19.402063	16.821224	17.163731	18.989868
NFYA	9.442572	9.485522	9.223293	9.917107	10.073338	9.349653	10.12029	8.703604
STPG1	4.658572	4.165176	4.932239	4.156675	4.889811	4.010272	3.798219	4.329839
NIPAL3	7.997032	8.172646	6.597126	6.478106	7.431753	8.743982	6.23609	7.629127
LAS1L	45.699753	41.251602	33.307693	35.639313	32.935524	42.570538	32.593773	39.863224
ENPP4	0	0	0	0	0	0.030064	0	0
SEMA3F	38.073502	39.200298	38.712654	30.06146	33.964348	36.50042	35.244385	32.976231
CFTR	0.241304	0.264091	0.3584	0.457649	0.382284	0.292282	0.441413	0
ANKIB1	19.729328	21.406345	20.317751	22.35066	20.371723	21.260113	19.805241	20.13448
CYP51A1	55.250008	53.198723	51.145607	61.700481	81.078629	73.930779	68.674965	82.92215
KRIT1	18.543419	26.690554	18.577101	24.677174	27.780413	18.545727	21.150732	16.723362
RAD52	9.696809	11.930033	8.662775	7.813322	9.178807	9.038758	6.964424	8.019553
BAD	39.276627	40.321728	23.741316	20.812206	27.012882	40.385582	25.58242	39.013123
LAP3	14.283471	15.373719	14.372596	13.574701	13.778776	13.949486	13.955959	15.702943
CD99	78.867012	53.477077	79.88369	76.433563	54.905884	79.676804	55.705349	74.906067
HS3ST1	0	0.013098	0	0	0	0	0	0
WNT16	0.07424	0.185014	0.163554	0.210196	0.22012	0.199939	0.222954	0.249547
HECW1	10.592945	9.921242	8.920314	9.588386	9.236918	11.80187	10.692259	11.127147
MAD1L1	15.151145	13.096733	10.614498	8.651254	12.358231	13.349977	14.266707	11.581936
LASP1	94.911476	70.66346	86.567703	56.919247	87.582787	93.864441	87.762154	89.781883
SNX11	6.120316	7.857946	5.547582	6.46785	5.751043	6.40625	6.695252	6.067786
M6PR	28.13868	49.92168	23.258028	33.963612	50.69421	52.534992	27.062244	41.641785
KLHL13	51.389957	55.52737	49.075184	49.641472	58.979527	45.370586	54.568687	59.863659
CYP26B1	1.469072	1.014831	0.743343	1.516334	1.081034	2.178056	1.750369	1.98736
DBNDD1	9.334354	12.659199	12.314901	9.45501	8.468895	9.480698	10.776887	11.21742
ALS2	3.438717	2.989893	2.927557	3.137999	3.467554	2.507276	2.287642	2.742045
CASP10	2.590702	3.410429	2.652608	3.177346	3.016087	2.281293	3.004002	2.577171
CFLAR	4.776447	6.482216	3.464028	6.187583	5.332108	6.301508	5.642471	5.992338
NDUFAF7	16.399284	12.671821	11.043447	15.266535	17.235209	12.942018	13.647242	13.493758
RBM5	52.516979	44.202583	44.912319	41.24416	44.56094	39.603455	41.829956	38.257633
MTMR7	0.569934	0.506313	0.583763	0.827569	0.503433	0.600419	0.509782	0.490345
SLC7A2	10.339922	9.740647	8.730091	9.64125	11.57592	11.986695	10.656068	10.525791
